model	threshold	FPR	TPR	AUC	display_label	plot_color	AUC_display	source_file
binary_aquatic_dependence_nested_ttest_baseline	0.937169917004249	0.00442477876106195	0.238095238095238	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.93704911153234	0.00442477876106195	0.253968253968254	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.904061246641657	0.00884955752212389	0.253968253968254	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.882962612672178	0.00884955752212389	0.26984126984127	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.846037012202465	0.00884955752212389	0.285714285714286	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.824822132615028	0.00884955752212389	0.301587301587302	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.80692981293102	0.00884955752212389	0.317460317460317	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.802181520135334	0.0132743362831858	0.317460317460317	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.76134635163975	0.0176991150442478	0.317460317460317	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.75305076126366	0.0176991150442478	0.333333333333333	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.730951693841566	0.0176991150442478	0.349206349206349	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.727906533532808	0.0221238938053097	0.349206349206349	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.707449143945208	0.0265486725663717	0.349206349206349	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.703765182738297	0.0309734513274336	0.349206349206349	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.680625342264015	0.0309734513274336	0.365079365079365	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.669928300431716	0.0353982300884956	0.365079365079365	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.666382890887064	0.0353982300884956	0.380952380952381	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.652629392748046	0.0353982300884956	0.396825396825397	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.628122053879888	0.0353982300884956	0.412698412698413	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.626842374713249	0.0398230088495575	0.412698412698413	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.604412427652208	0.0398230088495575	0.428571428571429	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.599243942410554	0.0398230088495575	0.444444444444444	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.558320799081342	0.0442477876106195	0.444444444444444	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.557124604551994	0.0486725663716814	0.444444444444444	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.536077821190209	0.0486725663716814	0.46031746031746	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.533086785953992	0.0486725663716814	0.476190476190476	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.501652331530759	0.0486725663716814	0.492063492063492	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.499061727264347	0.0486725663716814	0.507936507936508	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.437213756287889	0.0486725663716814	0.523809523809524	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.428606552520003	0.0486725663716814	0.53968253968254	0.825537294563843	Binary aquatic-dependence model (AUC = 0.826)	#d95f0e	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_ROC_points.tsv
