model	AUC_legacy_global_preprocessing	AUC_corrected_globalFDR_foldwise_preprocessing	AUC_nested_ttest	delta_vs_corrected_globalFDR	n_species_evaluated	n_positive	n_negative	median_candidate_features_per_fold	median_selected_predictors_per_fold	evidence_level	AUC_display	source_file
marine_binary_nested_ttest_baseline	0.956644012186547	0.961643621592063	0.935551910007031	-0.0260917115850322	302	51	251	1561	69	terminal-species genus-level LOOCV with supervised t-test/FDR candidate discovery repeated inside each outer training fold; global deterministic ASR branch states retained; fold-wise training-only imputation/scaling/lambda/model fitting	0.936	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_AUC_summary.tsv
binary_aquatic_dependence_nested_ttest_baseline	0.88151425762045	0.890293580559067	0.825537294563843	-0.0647562859952238	289	63	226	1223	90	terminal-species genus-level LOOCV with supervised t-test/FDR candidate discovery repeated inside each outer training fold; global deterministic ASR branch states retained; fold-wise training-only imputation/scaling/lambda/model fitting	0.826	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_AUC_summary.tsv
