species	genus	model	trait_category	marine_binary	binary_aquatic_endpoint	aquaticity_score	held_out_genus	corrected_globalFDR_OOF_prediction	nested_ttest_OOF_prediction	prediction_delta	nested_OOF_available	exclusion_reason	fold_n_candidate_features_FDR	fold_n_features_after_preprocessing	fold_n_selected_predictors	fold_model_status	panel	plot_color	source_file
Acinonyx_jubatus	Acinonyx	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Acinonyx	0.00698947232608314	0.0128129693045926	0.00582349697850947	TRUE		1567	1567	69	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Acomys_russatus	Acomys	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Acomys	0.0034224956421907	0.00314605948581314	-0.000276436156377559	TRUE		1557	1557	73	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Aeorestes_cinereus	Aeorestes	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Aeorestes	0.00407011084423708	0.00434706259133135	0.000276951747094266	TRUE		1556	1556	68	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ailuropoda_melanoleuca	Ailuropoda	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Ailuropoda	0.00946043241731164	0.0109467152530092	0.00148628283569758	TRUE		1561	1561	74	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ailurus_fulgens	Ailurus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Ailurus	0.00376247563357167	0.00375941915649292	-3.05647707874845e-06	TRUE		1557	1557	71	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Alces_alces	Alces	marine_binary_nested_ttest_baseline	semi-aquatic	0		4	Alces	0.00350409603695365	0.00158724166510412	-0.00191685437184953	TRUE		1558	1558	74	fit_nonzero_predictors	Marine model	#f1a340	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Allactaga_bullata	Allactaga	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Allactaga	0.00504216294349887	0.00493977216725208	-0.00010239077624679	TRUE		1558	1558	72	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Allenopithecus_nigroviridis	Allenopithecus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Allenopithecus	0.00024428019394587	0.000846822841831607	0.000602542647885737	TRUE		1563	1563	68	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Alouatta_palliata	Alouatta	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Alouatta	0.00745203956116919	0.00723724145299198	-0.000214798108177207	TRUE		1563	1563	71	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ammotragus_lervia	Ammotragus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Ammotragus	0.00506124750384477	0.00505133898766694	-9.90851617783256e-06	TRUE		1565	1565	68	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Anoura_caudifer	Anoura	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Anoura	0.00479582700599401	0.00529721398804505	0.000501386982051039	TRUE		1555	1555	69	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Antidorcas_marsupialis	Antidorcas	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Antidorcas	0.000812315935000797	0.00445507916876429	0.00364276323376349	TRUE		1566	1566	68	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Antilocapra_americana	Antilocapra	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Antilocapra	0.00339753309160683	0.00669588776099134	0.00329835466938451	TRUE		1561	1561	69	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Aonyx_cinereus	Aonyx	marine_binary_nested_ttest_baseline	non-marine aquatic	0	1	10	Aonyx	0.0518073630551132	0.05576167106586	0.0039543080107468	TRUE		1560	1560	76	fit_nonzero_predictors	Marine model	#d95f0e	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Aotus_nancymaae	Aotus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Aotus	0.00043783213146212	0.00136617964584994	0.000928347514387824	TRUE		1558	1558	66	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Aplodontia_rufa	Aplodontia	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Aplodontia	0.00067726477891924	0.000672707197351901	-4.5575815673394e-06	TRUE		1561	1561	72	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Artibeus_jamaicensis	Artibeus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Artibeus	0.00425827883621279	0.00348856223654652	-0.000769716599666266	TRUE		1553	1553	74	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Arvicanthis_niloticus	Arvicanthis	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Arvicanthis	0.000771549268229179	0.000673030920436403	-9.85183477927762e-05	TRUE		1554	1554	72	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Arvicola_amphibius	Arvicola	marine_binary_nested_ttest_baseline	non-marine aquatic	0	1	7	Arvicola	0.00362764947461308	0.00360331592052782	-2.43335540852634e-05	TRUE		1556	1556	72	fit_nonzero_predictors	Marine model	#d95f0e	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ateles_geoffroyi	Ateles	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Ateles	0.00225089534305193	0.0060747425208801	0.00382384717782817	TRUE		1561	1561	70	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Axis_porcinus	Axis	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Axis	0.0157431386874572	0.0211979612183672	0.00545482253090998	TRUE		1567	1567	66	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Babyrousa_celebensis	Babyrousa	marine_binary_nested_ttest_baseline	semi-aquatic	0		2	Babyrousa	0.0060883286590924	0.00610180177882299	1.34731197305917e-05	TRUE		1557	1557	66	fit_nonzero_predictors	Marine model	#f1a340	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Balaena_mysticetus	Balaena	marine_binary_nested_ttest_baseline	marine	1	1	18	Balaena	0.97154336470226	0.857091314400873	-0.114452050301387	TRUE		1545	1545	63	fit_nonzero_predictors	Marine model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Balaenoptera_acutorostrata_scammoni	Balaenoptera	marine_binary_nested_ttest_baseline	marine	1	1	18	Balaenoptera	0.92454517554908	0.613967554665459	-0.310577620883621	TRUE		1452	1452	69	fit_nonzero_predictors	Marine model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Balaenoptera_bonaerensis	Balaenoptera	marine_binary_nested_ttest_baseline	marine	1	1	18	Balaenoptera	0.997233369995083	0.962712651125752	-0.0345207188693313	TRUE		1452	1452	69	fit_nonzero_predictors	Marine model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Balaenoptera_edeni	Balaenoptera	marine_binary_nested_ttest_baseline	marine	1	1	18	Balaenoptera	0.990477805892787	0.971034492239519	-0.0194433136532679	TRUE		1452	1452	69	fit_nonzero_predictors	Marine model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Balaenoptera_musculus	Balaenoptera	marine_binary_nested_ttest_baseline	marine	1	1	18	Balaenoptera	0.983762692343939	0.974307468869033	-0.00945522347490568	TRUE		1452	1452	69	fit_nonzero_predictors	Marine model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Bassariscus_astutus	Bassariscus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Bassariscus	0.237476018034962	0.331966286243118	0.0944902682081564	TRUE		1596	1596	80	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Bassariscus_sumichrasti	Bassariscus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Bassariscus	0.000321447340664046	0.000320238380997487	-1.20895966655872e-06	TRUE		1596	1596	80	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Beatragus_hunteri	Beatragus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Beatragus	0.0325909480989552	0.0383509275872363	0.00575997948828112	TRUE		1570	1570	70	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Bos_frontalis	Bos	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Bos	0.00563522044066766	0.00726041055328195	0.00162519011261429	TRUE		1568	1568	67	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Bos_mutus	Bos	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Bos	0.00268506844438993	0.00344700591158809	0.000761937467198159	TRUE		1568	1568	67	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Bubalus_bubalis	Bubalus	marine_binary_nested_ttest_baseline	semi-aquatic	0		2	Bubalus	0.00158914547553083	0.00160424634828775	1.51008727569159e-05	TRUE		1565	1565	67	fit_nonzero_predictors	Marine model	#f1a340	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Callithrix_jacchus	Callithrix	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Callithrix	0.00748639231967288	0.00748398677090988	-2.40554876300252e-06	TRUE		1555	1555	69	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Callorhinus_ursinus	Callorhinus	marine_binary_nested_ttest_baseline	marine	1	1	14	Callorhinus	0.796052801157515	0.801210265024573	0.00515746386705762	TRUE		1558	1558	73	fit_nonzero_predictors	Marine model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Camelus_ferus	Camelus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Camelus	0.0334158285677152	0.0350923510388453	0.00167652247113008	TRUE		1565	1565	67	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Capra_aegagrus	Capra	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Capra	0.00265724965419695	0.0111862305223146	0.00852898086811764	TRUE		1584	1584	64	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Capra_sibirica	Capra	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Capra	0.173104578270981	0.183819755215832	0.0107151769448506	TRUE		1584	1584	64	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Capreolus_pygargus	Capreolus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Capreolus	0.00197548174812378	0.00210908871400046	0.000133606965876681	TRUE		1563	1563	69	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Carlito_syrichta	Carlito	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Carlito	0.00234562679514962	0.00235051615020673	4.88935505711099e-06	TRUE		1558	1558	71	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Castor_canadensis	Castor	marine_binary_nested_ttest_baseline	non-marine aquatic	0	1	14	Castor	0.00397050252239013	0.00379523086691119	-0.00017527165547894	TRUE		1557	1557	73	fit_nonzero_predictors	Marine model	#d95f0e	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Catagonus_wagneri	Catagonus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Catagonus	0.000854719786210098	0.00302935810782492	0.00217463832161483	TRUE		1567	1567	66	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cavia_tschudii	Cavia	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Cavia	0.000225276037844688	0.000244297697647796	1.90216598031076e-05	TRUE		1559	1559	72	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cebus_capucinus_imitator	Cebus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Cebus	0.0140499604967311	0.0253723512465853	0.0113223907498542	TRUE		1564	1564	68	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cephalophus_harveyi	Cephalophus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Cephalophus	0.0672799499786707	0.0685855627915641	0.00130561281289338	TRUE		1559	1559	76	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cephalorhynchus_commersonii	Cephalorhynchus	marine_binary_nested_ttest_baseline	marine	1	1	18	Cephalorhynchus	0.99600052997258	0.995453944748296	-0.000546585224284413	TRUE		1567	1567	65	fit_nonzero_predictors	Marine model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ceratotherium_simum_simum	Ceratotherium	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Ceratotherium	0.0168448159154602	0.0173580067490411	0.000513190833580878	TRUE		1565	1565	67	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cercocebus_atys	Cercocebus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Cercocebus	1.2230652155292e-08	2.01710865074585e-08	7.94043435216652e-09	TRUE		1565	1565	76	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cercopithecus_mona	Cercopithecus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Cercopithecus	0.00858268975155948	0.00908367156792595	0.000500981816366474	TRUE		1563	1563	67	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cervus_hanglu_yarkandensis	Cervus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Cervus	0.0296048906597298	0.0323036471922008	0.00269875653247104	TRUE		1574	1574	67	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Chinchilla_lanigera	Chinchilla	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Chinchilla	0.00242454292579568	0.00256341646021124	0.000138873534415556	TRUE		1555	1555	71	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Chlorocebus_sabaeus	Chlorocebus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Chlorocebus	0.00318996905436226	0.00726261019181989	0.00407264113745763	TRUE		1570	1570	66	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Choloepus_didactylus	Choloepus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Choloepus	0.393895266215326	0.440259710219335	0.0463644440040094	TRUE		1584	1584	72	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Choloepus_hoffmanni	Choloepus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Choloepus	0.816684761956788	0.729070762957592	-0.0876139989991964	TRUE		1584	1584	72	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Chrysochloris_asiatica	Chrysochloris	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Chrysochloris	0.0124019361209892	0.0124047281613941	2.79204040492566e-06	TRUE		1558	1558	71	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Chrysocyon_brachyurus	Chrysocyon	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Chrysocyon	0.0235746178116365	0.025583151639439	0.00200853382780248	TRUE		1559	1559	64	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Coendou_prehensilis	Coendou	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Coendou	0.0465228696618845	0.0475182974190943	0.000995427757209753	TRUE		1564	1564	66	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Colobus_angolensis_palliatus	Colobus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Colobus	0.00176843450413946	0.00463314327873251	0.00286470877459305	TRUE		1568	1568	70	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Connochaetes_taurinus	Connochaetes	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Connochaetes	0.00314058802719071	0.00343823129252028	0.000297643265329566	TRUE		1572	1572	67	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Craseonycteris_thonglongyai	Craseonycteris	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Craseonycteris	0.00501941891738914	0.0052078718173076	0.000188452899918464	TRUE		1556	1556	72	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cricetomys_gambianus	Cricetomys	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Cricetomys	0.000549235616933858	0.000596841963163357	4.76063462294993e-05	TRUE		1557	1557	71	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cricetulus_griseus	Cricetulus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Cricetulus	0.00145779342006884	0.0027977475570935	0.00133995413702466	TRUE		1561	1561	69	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Crocuta_crocuta	Crocuta	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Crocuta	0.109694088580058	0.110175576963266	0.000481488383208134	TRUE		1565	1565	73	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cryptoprocta_ferox	Cryptoprocta	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Cryptoprocta	0.00223919325866318	0.00226460156179459	2.54083031314091e-05	TRUE		1560	1560	71	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ctenodactylus_gundi	Ctenodactylus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Ctenodactylus	0.0143270518548307	0.0143276332997042	5.81444873489975e-07	TRUE		1558	1558	72	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ctenomys_sociabilis	Ctenomys	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Ctenomys	0.00163322432214193	0.00173604976548119	0.000102825443339262	TRUE		1562	1562	72	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Cynomys_gunnisoni	Cynomys	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Cynomys	0.000227285202824907	0.000283849341914416	5.65641390895085e-05	TRUE		1561	1561	65	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Damaliscus_lunatus	Damaliscus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Damaliscus	0.00801057537292786	0.00814786339498924	0.000137288022061376	TRUE		1566	1566	70	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Dasyprocta_punctata	Dasyprocta	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Dasyprocta	0.000990895193219709	0.00104761920764735	5.67240144276407e-05	TRUE		1558	1558	71	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
