species	genus	model	trait_category	marine_binary	binary_aquatic_endpoint	aquaticity_score	held_out_genus	corrected_globalFDR_OOF_prediction	nested_ttest_OOF_prediction	prediction_delta	nested_OOF_available	exclusion_reason	fold_n_candidate_features_FDR	fold_n_features_after_preprocessing	fold_n_selected_predictors	fold_model_status	panel	plot_color	source_file
Sylvicapra_grimmia	Sylvicapra	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Sylvicapra	0.0308465275872425	0.0341453774751541	0.00329884988791165	TRUE		1230	1230	90	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Sylvilagus_bachmani	Sylvilagus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Sylvilagus	0.00078938749827907	0.0313305060841911	0.030541118585912	TRUE		1218	1218	66	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Syncerus_caffer	Syncerus	binary_aquatic_dependence_nested_ttest_baseline	semi-aquatic	0		2	Syncerus				FALSE	semi-aquatic aquatic_v2=0.5 excluded from binary aquatic-dependence LASSO/AUC				excluded_no_binary_aquatic_endpoint	Binary aquatic-dependence model	#f1a340	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Talpa_occidentalis	Talpa	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Talpa	0.0010408701664083	0.00362173508006142	0.00258086491365312	TRUE		1216	1216	87	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Tapirus_indicus	Tapirus	binary_aquatic_dependence_nested_ttest_baseline	semi-aquatic	0		3	Tapirus				FALSE	semi-aquatic aquatic_v2=0.5 excluded from binary aquatic-dependence LASSO/AUC				excluded_no_binary_aquatic_endpoint	Binary aquatic-dependence model	#f1a340	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Tapirus_terrestris	Tapirus	binary_aquatic_dependence_nested_ttest_baseline	semi-aquatic	0		3	Tapirus				FALSE	semi-aquatic aquatic_v2=0.5 excluded from binary aquatic-dependence LASSO/AUC				excluded_no_binary_aquatic_endpoint	Binary aquatic-dependence model	#f1a340	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Taxidea_taxus_jeffersonii	Taxidea	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Taxidea	0.105666501326762	0.105728594369609	6.20930428471417e-05	TRUE		1224	1224	92	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Theropithecus_gelada	Theropithecus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Theropithecus	5.79667584654702e-06	5.71650976893113e-06	-8.01660776158948e-08	TRUE		1228	1228	98	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Thryonomys_swinderianus	Thryonomys	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Thryonomys	0.0240459902354321	0.0263871652180194	0.00234117498258734	TRUE		1220	1220	88	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Tonatia_saurophila	Tonatia	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Tonatia	0.0420119535998252	0.0479440104296763	0.00593205682985114	TRUE		1214	1214	88	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
