"target_name","display_label","branch_id","branch_group","model","module","net_contribution","positive_contribution_sum","negative_contribution_sum","absolute_contribution_sum","n_contributing_genes","n_positive_contribution_genes","n_negative_contribution_genes","top_genes_by_abs_contribution"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","Sirenian / edge context","marine","Developmental / transcriptional signaling regulators",0.292153541770955,0.313375903248328,-0.0212223614773737,0.334598264725702,6,3,3,"HOXD10;NR2C2AP;RNF224;SOX7;VEPH1"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","Sirenian / edge context","marine","Endocrine / circadian / systemic regulation",0.0305144243059352,0.0305144243059366,-1.39887150424023e-15,0.030514424305938,4,2,2,"CYP21A2;SSTR4;ASMTL;CREB3L3"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","Sirenian / edge context","marine","Epithelial / body-surface interface",-0.153848748255923,0.0906284382990143,-0.244477186554938,0.335105624853952,8,4,4,"SDR9C7;KRT17;TGM1;TGM5;KRTDAP"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","Sirenian / edge context","marine","Immune / inflammatory regulation",-0.345548429411475,0,-0.345548429411475,0.345548429411475,3,0,3,"IL33;TREM2;IL36G"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","Sirenian / edge context","marine","Ion channels / mechanosensation / membrane signaling",-0.0850752044568806,1.87759583689272e-16,-0.0850752044568808,0.085075204456881,2,1,1,"CALHM1;KCNK18"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","Sirenian / edge context","marine","Membrane trafficking / ER / vesicle processing",-0.0267921481137884,0.148984954550935,-0.175777102664723,0.324762057215658,4,2,1,"APH1B;ATG2A;BAK1;ESYT3"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","Sirenian / edge context","marine","Metabolism / redox / lipid handling",0.382321572461163,0.385023771324211,-0.0027021988630482,0.387725970187259,6,5,1,"PUSL1;FN3K;NUBP2;DCXR;IDUA"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","Sirenian / edge context","marine","RNA processing / translation / protein homeostasis",0.0071827148144322,0.00718271481443222,-1.73785389169699e-17,0.00718271481443224,2,1,1,"RARS1;SF3B3"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","Sirenian / edge context","marine","Sensory systems",-0.0972648465659244,0.0338360328618657,-0.13110087942779,0.164936912289656,6,4,2,"OMP;RDH12;STMN4;OR52W1;OR10G3"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","Sirenian / edge context","marine","Transport / endocytic / epithelial solute handling",0.0784849455271989,0.0784849455271989,-5.87836058197703e-17,0.078484945527199,2,1,1,"SLC2A7;SLC28A1"
