"target_name","display_label","branch_id","model","gene","gene_order","module","predictor_class","coefficient","scaled_GBI","contribution","abs_contribution","top_abs_rank","top_set"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","FN3K",11,"Metabolism / redox / lipid handling","shared",-0.217860441354345,-0.548596921563606,0.119517567457482,0.119517567457482,12,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","PER1",100,"Endocrine / circadian / systemic regulation","aquatic_specific",0.784004329488712,1.23911585952592,0.971472198606451,0.971472198606451,1,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","PUSL1",6,"Metabolism / redox / lipid handling","shared",-0.314220898750119,2.44721978996208,-0.768967601840962,0.768967601840962,2,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","ATF7IP2",1,"DNA repair / chromatin / cell-cycle","aquatic_specific",-0.581769927151342,1.31691961767155,-0.766144230036948,0.766144230036948,3,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","KIF18A",95,"DNA repair / chromatin / cell-cycle","aquatic_specific",0.340198342633948,-1.47964940305389,-0.503374274598242,0.503374274598242,4,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","ACADSB",14,"Metabolism / redox / lipid handling","aquatic_specific",-0.238865076823398,-1.85410187467603,0.442880186732896,0.442880186732896,5,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","CACNA1G",99,"Ion channels / mechanosensation / membrane signaling","aquatic_specific",0.593854706123962,-0.736989778825035,-0.437664848520505,0.437664848520505,6,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","IL33",94,"Immune / inflammatory regulation","shared",0.340038935001018,-1.25231167496481,-0.425834728244375,0.425834728244375,7,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","SPEF2",85,"Cilia / flagella / reproductive-cell function","aquatic_specific",0.174059525751515,-1.91992469287402,-0.334181181520275,0.334181181520275,8,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","SMCO3",7,"Unassigned / low-confidence","aquatic_specific",-0.307082295991399,-1.01783811500828,0.312560065304301,0.312560065304301,9,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","NWD1",97,"Developmental / transcriptional signaling regulators","aquatic_specific",0.404558879261438,-0.770902977382563,-0.311875644549196,0.311875644549196,10,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","WDR93",2,"Cilia / flagella / reproductive-cell function","shared",-0.4793197990576,0.642784799046874,-0.308099480716428,0.308099480716428,11,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","KEAP1",21,"Developmental / transcriptional signaling regulators","aquatic_specific",-0.19883739251004,-1.5436668077506,0.306938682957427,0.306938682957427,12,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","HIGD1B",62,"Vascular / hematologic regulation","marine_specific",0.328380050132626,2.36106303074782,0.77532599640326,0.77532599640326,1,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","PUSL1",5,"Metabolism / redox / lipid handling","shared",-0.270477624990477,2.47049022849186,-0.668212329564657,0.668212329564657,2,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","FAM234A",18,"Unassigned / low-confidence","marine_specific",-0.108556846491888,5.98528734085229,-0.649743919070743,0.649743919070743,3,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","KCNK18",69,"Ion channels / mechanosensation / membrane signaling","shared",0.43928773003255,-1.21344822905597,-0.533052918054014,0.533052918054014,4,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","ALOX12B",54,"Epithelial / body-surface interface","marine_specific",0.149753620737968,3.01865542951177,0.452054580329715,0.452054580329715,5,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","ACP4",65,"Cytoskeletal / muscle / ECM / adhesion","marine_specific",0.36185377349003,-1.04945723387968,-0.379750060195771,0.379750060195771,6,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","MYH7B",67,"Cytoskeletal / muscle / ECM / adhesion","marine_specific",0.397856553371577,-0.886166488666984,-0.352567144894439,0.352567144894439,7,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","IL33",59,"Immune / inflammatory regulation","shared",0.27044270721607,-1.25623647320033,-0.339739992715866,0.339739992715866,8,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","HGFAC",3,"Vascular / hematologic regulation","shared",-0.314672853107267,-1.04968787787554,0.330308279403207,0.330308279403207,9,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","KRTDAP",66,"Epithelial / body-surface interface","shared",0.386565925079529,-0.7956627842008,-0.307576120225936,0.307576120225936,10,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","SLC28A1",50,"Transport / endocytic / epithelial solute handling","marine_specific",0.128656733732997,2.28533599927687,0.294023865149396,0.294023865149396,11,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","marine","OMP",64,"Sensory systems","shared",0.345615697623917,-0.83680215058049,-0.28921195904607,0.28921195904607,12,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","TGM3",101,"Epithelial / body-surface interface","shared",1.04080869919882,3.35629556968149,3.49326162600694,3.49326162600694,1,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","FAM13A",96,"Developmental / transcriptional signaling regulators","aquatic_specific",0.348973910716795,2.1136166577815,0.737597070822171,0.737597070822171,2,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","SYTL5",93,"Membrane trafficking / ER / vesicle processing","aquatic_specific",0.265993756746688,1.95213536253981,0.519255818760022,0.519255818760022,3,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","PDGFB",5,"Vascular / hematologic regulation","aquatic_specific",-0.348561123284862,-1.26540545001707,0.441071145068738,0.441071145068738,4,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","PMIS2",3,"Developmental / transcriptional signaling regulators","aquatic_specific",-0.39072525213697,-1.11454446072728,0.435480665435529,0.435480665435529,5,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","LRP2",98,"Transport / endocytic / epithelial solute handling","aquatic_specific",0.471378525654808,-0.871086630920443,-0.410611531800893,0.410611531800893,6,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","PRSS53",89,"Epithelial / body-surface interface","aquatic_specific",0.194083977905306,1.55501341674412,0.30180318961782,0.30180318961782,7,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","PER1",100,"Endocrine / circadian / systemic regulation","aquatic_specific",0.784004329488712,-0.366159151001057,-0.28707035966674,0.28707035966674,8,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","CATSPERG",17,"Cilia / flagella / reproductive-cell function","aquatic_specific",-0.232264279338058,-1.1700467874667,0.271760073882762,0.271760073882762,9,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","IL33",94,"Immune / inflammatory regulation","shared",0.340038935001018,0.79386899550717,0.269946367762586,0.269946367762586,10,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","OR6B1",81,"Sensory systems","shared",0.1211331117984,2.17700041117007,0.263706834191428,0.263706834191428,11,"top_absolute"
"Mysticeti","Mysticeti","B544","binary_aquatic_dependence","NWD1",97,"Developmental / transcriptional signaling regulators","aquatic_specific",0.404558879261438,-0.621487675694987,-0.25142835755396,0.25142835755396,12,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","TGM3",71,"Epithelial / body-surface interface","shared",0.691315381170856,3.42737713935613,2.36939853351026,2.36939853351026,1,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","KRTDAP",66,"Epithelial / body-surface interface","shared",0.386565925079529,3.96281146283065,1.53188787904489,1.53188787904489,2,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","MYH13",70,"Cytoskeletal / muscle / ECM / adhesion","marine_specific",0.480299625271563,3.17806330627745,1.52642261509437,1.52642261509437,3,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","KRT17",57,"Epithelial / body-surface interface","marine_specific",0.189861649168978,4.50468499097082,0.855266921372465,0.855266921372465,4,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","HIGD1B",62,"Vascular / hematologic regulation","marine_specific",0.328380050132626,2.11745684216464,0.695330583983698,0.695330583983698,5,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","IL36G",56,"Immune / inflammatory regulation","marine_specific",0.166019839478868,4.17380519819718,0.692934469020761,0.692934469020761,6,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","NKPD1",58,"Unassigned / low-confidence","marine_specific",0.230941713295598,2.95305214558461,0.681982921952551,0.681982921952551,7,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","EPOR",1,"Vascular / hematologic regulation","shared",-0.562386788005208,0.799318534189459,-0.449526183035841,0.449526183035841,8,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","OR6B1",49,"Sensory systems","shared",0.111781295712533,2.22606504459034,0.248832435024686,0.248832435024686,9,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","DBNL",48,"Cytoskeletal / muscle / ECM / adhesion","shared",0.109704318050152,2.03811090717303,0.223589567181993,0.223589567181993,10,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","IL33",59,"Immune / inflammatory regulation","shared",0.27044270721607,0.817323917917835,0.221039293034144,0.221039293034144,11,"top_absolute"
"Mysticeti","Mysticeti","B544","marine","SSTR4",52,"Endocrine / circadian / systemic regulation","marine_specific",0.137940410562783,1.58071230779434,0.218044104718796,0.218044104718796,12,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","TGM3",101,"Epithelial / body-surface interface","shared",1.04080869919882,1.71760144498072,1.78769452569239,1.78769452569239,1,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","WDR93",2,"Cilia / flagella / reproductive-cell function","shared",-0.4793197990576,2.79337272873195,-1.33891885502878,1.33891885502878,2,"top_absolute"
