"display_label","branch_id","model","gene","gene_order","module","coefficient","scaled_GBI","contribution","abs_contribution","label_rank"
"Crown Cetacea","B592","binary_aquatic_dependence","PDGFB",5,"Vascular / hematologic regulation",-0.348561123284862,1.08897335640145,-0.379573776334576,0.379573776334576,5
"Crown Cetacea","B592","binary_aquatic_dependence","WDR93",2,"Cilia / flagella / reproductive-cell function",-0.4793197990576,-0.745919106237803,0.357533796115129,0.357533796115129,6
"Crown Cetacea","B592","binary_aquatic_dependence","OR52W1",88,"Sensory systems",0.190684677268266,1.38310812837251,0.263737527085827,0.263737527085827,7
"Crown Cetacea","B592","marine","TGM3",71,"Epithelial / body-surface interface",0.691315381170856,2.43302258033502,1.6819859325216,1.6819859325216,1
"Crown Cetacea","B592","marine","KRTDAP",66,"Epithelial / body-surface interface",0.386565925079529,1.59463705565283,0.616432348584532,0.616432348584532,2
"Crown Cetacea","B592","marine","PUSL1",5,"Metabolism / redox / lipid handling",-0.270477624990477,1.90812849125645,-0.516106062491707,0.516106062491707,3
"Crown Cetacea","B592","marine","OR52W1",61,"Sensory systems",0.282799403614638,1.37492373000625,0.388827610861381,0.388827610861381,4
"Crown Cetacea","B592","marine","SSTR4",52,"Endocrine / circadian / systemic regulation",0.137940410562783,2.56488849133872,0.35380177154302,0.35380177154302,5
"Crown Cetacea","B592","marine","ACP4",65,"Cytoskeletal / muscle / ECM / adhesion",0.36185377349003,0.749583795952328,0.271239725112331,0.271239725112331,6
"Crown Cetacea","B592","marine","CD34",9,"Vascular / hematologic regulation",-0.231912055829233,-0.965606190449255,0.22393571674852,0.22393571674852,7
"Crown Pinnipedia","B410","binary_aquatic_dependence","PER1",100,"Endocrine / circadian / systemic regulation",0.784004329488712,1.14686079145267,0.899143825819746,0.899143825819746,1
"Crown Pinnipedia","B410","binary_aquatic_dependence","CACNA1G",99,"Ion channels / mechanosensation / membrane signaling",0.593854706123962,0.856493163342732,0.508632495814081,0.508632495814081,2
"Crown Pinnipedia","B410","binary_aquatic_dependence","PMIS2",3,"Developmental / transcriptional signaling regulators",-0.39072525213697,-0.912747553737685,0.35663351807156,0.35663351807156,3
"Crown Pinnipedia","B410","binary_aquatic_dependence","ATF7IP2",1,"DNA repair / chromatin / cell-cycle",-0.581769927151342,-0.605662267577492,0.352356093286874,0.352356093286874,4
"Crown Pinnipedia","B410","binary_aquatic_dependence","KEAP1",21,"Developmental / transcriptional signaling regulators",-0.19883739251004,1.46780926495515,-0.29185536694576,0.29185536694576,5
"Crown Pinnipedia","B410","binary_aquatic_dependence","TTC28",15,"Developmental / transcriptional signaling regulators",-0.237914556985983,1.18412251609546,-0.281719983833979,0.281719983833979,6
"Crown Pinnipedia","B410","binary_aquatic_dependence","PFKP",4,"Metabolism / redox / lipid handling",-0.356881027792284,0.693880836050186,-0.24763290593496,0.24763290593496,7
"Crown Pinnipedia","B410","marine","EPOR",1,"Vascular / hematologic regulation",-0.562386788005208,-0.728112625897194,0.409480920984361,0.409480920984361,1
"Crown Pinnipedia","B410","marine","TPX2",2,"DNA repair / chromatin / cell-cycle",-0.547364151458345,-0.567162475783006,0.310444407295979,0.310444407295979,2
"Crown Pinnipedia","B410","marine","TRIM66",44,"DNA repair / chromatin / cell-cycle",0.0785377211171152,3.52001916185544,0.276454283260704,0.276454283260704,3
"Crown Pinnipedia","B410","marine","SDR9C7",68,"Epithelial / body-surface interface",0.409389888665918,-0.451061458929896,-0.184660000452797,0.184660000452797,4
"Crown Pinnipedia","B410","marine","HOXD10",60,"Developmental / transcriptional signaling regulators",0.28020716230031,-0.60795096148977,-0.170352213736793,0.170352213736793,5
"Crown Pinnipedia","B410","marine","FANCM",12,"DNA repair / chromatin / cell-cycle",-0.215464965565117,0.745606843057031,-0.160652152764398,0.160652152764398,6
"Crown Pinnipedia","B410","marine","OR52W1",61,"Sensory systems",0.282799403614638,0.548854428108315,0.155215704940285,0.155215704940285,7
"Dugong + Hydrodamalis","B25","binary_aquatic_dependence","PDGFB",5,"Vascular / hematologic regulation",-0.348561123284862,1.75550979038938,-0.611902464475696,0.611902464475696,1
"Dugong + Hydrodamalis","B25","binary_aquatic_dependence","IL33",94,"Immune / inflammatory regulation",0.340038935001018,-1.25231167496481,-0.425834728244375,0.425834728244375,2
"Dugong + Hydrodamalis","B25","binary_aquatic_dependence","PER1",100,"Endocrine / circadian / systemic regulation",0.784004329488712,-0.494138411226618,-0.387406653768342,0.387406653768342,3
"Dugong + Hydrodamalis","B25","binary_aquatic_dependence","NUBP2",13,"Metabolism / redox / lipid handling",-0.239999172123246,-1.04889996203436,0.25173512252835,0.25173512252835,4
"Dugong + Hydrodamalis","B25","binary_aquatic_dependence","C16orf91",9,"Unassigned / low-confidence",-0.262195862787636,-0.818490808536276,0.214604903727919,0.214604903727919,5
"Dugong + Hydrodamalis","B25","binary_aquatic_dependence","PUSL1",6,"Metabolism / redox / lipid handling",-0.314220898750119,-0.613394521599998,0.192741377865551,0.192741377865551,6
"Dugong + Hydrodamalis","B25","binary_aquatic_dependence","CASTOR1",40,"Endocrine / circadian / systemic regulation",-0.0825057476543748,2.05005959172027,-0.169141699350903,0.169141699350903,7
"Dugong + Hydrodamalis","B25","marine","TPX2",2,"DNA repair / chromatin / cell-cycle",-0.547364151458345,2.60533077025585,-1.42606466632941,1.42606466632941,1
"Dugong + Hydrodamalis","B25","marine","EPOR",1,"Vascular / hematologic regulation",-0.562386788005208,1.26649833692855,-0.712261931719188,0.712261931719188,2
"Dugong + Hydrodamalis","B25","marine","IL33",59,"Immune / inflammatory regulation",0.27044270721607,-1.25623647320033,-0.339739992715866,0.339739992715866,3
"Dugong + Hydrodamalis","B25","marine","HOXD10",60,"Developmental / transcriptional signaling regulators",0.28020716230031,0.963959025392267,0.270108223078939,0.270108223078939,4
