Package	Version	LibPath	Priority
base	4.4.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	base
base64enc	0.1-3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
bayesplot	1.14.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
biomformat	1.34.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
bit	4.6.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
bit64	4.6.0-1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
bitops	1.0-9	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
blob	1.2.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
boot	1.3-32	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
brew	1.0-10	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
bridgesampling	1.1-2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
brio	1.1.5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
brms	2.23.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
broom	1.0.10	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
bslib	0.9.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
caTools	1.18.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
cachem	1.1.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
calibrate	1.7.7	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
callr	3.7.6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
caper	1.0.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
car	3.1-3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
carData	3.0-5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
castor	1.8.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
cellranger	1.1.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
checkmate	2.3.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
circlize	0.4.16	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
class	7.3-23	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
cli	3.6.5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
clipr	0.8.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
clue	0.3-66	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
cluster	2.1.8.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
clusterGeneration	1.3.8	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
coda	0.19-4.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
codetools	0.2-20	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
coin	1.4-3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
colorspace	2.1-2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
combinat	0.0-8	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
commonmark	2.0.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
compiler	4.4.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	base
conflicted	1.2.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
corrplot	0.95	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
cowplot	1.2.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
cpp11	0.5.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
crayon	1.5.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
credentials	2.0.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
crosstalk	1.2.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
curl	7.0.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
data.table	1.17.8	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
data.tree	1.2.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
datasets	4.4.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	base
datawizard	1.3.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
dbplyr	2.5.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
deSolve	1.42	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
dendextend	1.19.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
desc	1.4.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
devEMF	4.5-1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
devtools	2.4.6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
diffobj	0.3.6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
digest	0.6.38	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
distributional	0.5.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
doBy	4.7.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
doParallel	1.0.17	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
downlit	0.4.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
dplyr	1.1.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
dtplyr	1.3.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
dunn.test	1.3.7	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
editData	0.1.8	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ellipse	0.5.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ellipsis	0.3.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
emmeans	2.0.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
estimability	1.5.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
evaluate	1.0.5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
exactRankTests	0.8-35	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
expm	1.0-0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
extrafont	0.20	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
extrafontdb	1.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
factoextra	1.0.7	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
fansi	1.0.6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
farver	2.1.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
fastmap	1.2.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
fastmatch	1.1-6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
flashClust	1.01-2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
flextable	0.9.10	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
fontBitstreamVera	0.1.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
fontLiberation	0.1.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
fontawesome	0.5.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
fontquiver	0.2.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
forcats	1.0.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
foreach	1.5.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
foreign	0.8-90	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
formatR	1.14	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
fs	1.6.6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
futile.logger	1.4.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
futile.options	1.0.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
future	1.67.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
future.apply	1.20.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gargle	1.6.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gcookbook	2.0.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gdata	3.0.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gdtools	0.4.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
geiger	2.0.11	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
generics	0.1.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gert	2.1.5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggdist	3.3.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
