Species	Branch
Craseonycteris_thonglongyai	B270
internal	B271
Rhinolophus_sinicus	B272
Hipposideros_galeritus	B273
internal	B274
internal	B275
internal	B276
internal	B277
Equus_burchellii_boehmi	B278
Equus_zebra	B279
internal	B280
Tapirus_indicus	B281
Tapirus_terrestris	B282
internal	B283
Dicerorhinus_sumatrensis_sumatrensis	B284
Rhinoceros_unicornis	B285
Ceratotherium_simum_simum	B286
Diceros_bicornis	B287
internal	B288
internal	B289
internal	B290
internal	B291
internal	B292
Manis_pentadactyla	B293
Manis_javanica	B294
internal	B295
Phataginus_tricuspis	B296
Manis_tricuspis	B297
internal	B298
internal	B299
Acinonyx_jubatus	B300
Puma_yagouaroundi	B301
internal	B302
Lynx_canadensis	B303
Lynx_pardinus	B304
internal	B305
Felis_nigripes	B306
Prionailurus_bengalensis_euptilurus	B307
internal	B308
internal	B309
internal	B310
Neofelis_nebulosa	B311
Panthera_uncia	B312
Panthera_onca	B313
Panthera_leo	B314
Panthera_pardus	B315
internal	B316
internal	B317
internal	B318
internal	B319
internal	B320
Paradoxurus_hermaphroditus	B321
Crocuta_crocuta	B322
Hyaena_hyaena	B323
internal	B324
Cryptoprocta_ferox	B325
Suricata_suricatta	B326
Helogale_parvula	B327
Mungos_mungo	B328
internal	B329
internal	B330
internal	B331
internal	B332
internal	B333
internal	B334
Vulpes_lagopus	B335
Vulpes_vulpes	B336
internal	B337
Chrysocyon_brachyurus	B338
Lycaon_pictus	B339
internal	B340
internal	B341
Ailuropoda_melanoleuca	B342
Helarctos_malayanus	B343
Ursus_thibetanus_thibetanus	B344
internal	B345
Ursus_americanus	B346
Ursus_arctos_horribilis	B347
Ursus_maritimus	B348
internal	B349
internal	B350
internal	B351
internal	B352
Spilogale_gracilis	B353
Ailurus_fulgens	B354
Potos_flavus	B355
Nasua_narica	B356
Procyon_lotor	B357
Bassariscus_astutus	B358
Bassariscus_sumichrasti	B359
internal	B360
internal	B361
internal	B362
internal	B363
Taxidea_taxus_jeffersonii	B364
Mellivora_capensis	B365
Martes_zibellina	B366
Neovison_vison	B367
Mustela_erminea	B368
Mustela_putorius_furo	B369
internal	B370
internal	B371
Pteronura_brasiliensis	B372
Lontra_canadensis	B373
Enhydra_lutris_kenyoni	B374
Aonyx_cinereus	B375
Lutra_lutra	B376
internal	B377
internal	B378
internal	B379
internal	B380
internal	B381
internal	B382
internal	B383
internal	B384
internal	B385
internal	B386
internal	B387
Odobenus_rosmarus_divergens	B388
Callorhinus_ursinus	B389
Eumetopias_jubatus	B390
Zalophus_californianus	B391
internal	B392
internal	B393
internal	B394
Neomonachus_schauinslandi	B395
Leptonychotes_weddellii	B396
Mirounga_angustirostris	B397
Mirounga_leonina	B398
internal	B399
internal	B400
internal	B401
Erignathus_barbatus	B402
Halichoerus_grypus	B403
Phoca_largha	B404
Phoca_vitulina	B405
internal	B406
internal	B407
internal	B408
internal	B409
internal	B410
internal	B411
internal	B412
internal	B413
internal	B414
internal	B415
Camelus_ferus	B416
Lama_guanicoe_cacsilensis	B417
Vicugna_vicugna_mensalis	B418
internal	B419
internal	B420
Babyrousa_celebensis	B421
Catagonus_wagneri	B422
internal	B423
Tragulus_javanicus	B424
Tragulus_kanchil	B425
internal	B426
Antilocapra_americana	B427
Okapia_johnstoni	B428
Giraffa_camelopardalis	B429
Giraffa_tippelskirchi	B430
internal	B431
internal	B432
internal	B433
Capreolus_pygargus	B434
Hydropotes_inermis	B435
internal	B436
Alces_alces	B437
Rangifer_tarandus_granti	B438
Odocoileus_hemionus_hemionus	B439
Odocoileus_virginianus	B440
internal	B441
internal	B442
internal	B443
internal	B444
Muntiacus_reevesi	B445
Muntiacus_crinifrons	B446
Muntiacus_muntjak	B447
internal	B448
internal	B449
Axis_porcinus	B450
Elaphurus_davidianus	B451
Przewalskium_albirostris	B452
Cervus_hanglu_yarkandensis	B453
internal	B454
internal	B455
internal	B456
internal	B457
internal	B458
Moschus_berezovskii	B459
Moschus_moschiferus	B460
internal	B461
Oreotragus_oreotragus	B462
Cephalophus_harveyi	B463
Sylvicapra_grimmia	B464
internal	B465
Procapra_przewalskii	B466
Eudorcas_thomsonii	B467
Nanger_granti	B468
internal	B469
Antidorcas_marsupialis	B470
Litocranius_walleri	B471
internal	B472
internal	B473
internal	B474
internal	B475
internal	B476
Kobus_ellipsiprymnus	B477
Kobus_leche_leche	B478
internal	B479
Connochaetes_taurinus	B480
Beatragus_hunteri	B481
Damaliscus_lunatus	B482
internal	B483
internal	B484
Oryx_dammah	B485
Oryx_gazella	B486
internal	B487
Hippotragus_equinus	B488
Hippotragus_niger_niger	B489
internal	B490
internal	B491
internal	B492
Oreamnos_americanus	B493
Ammotragus_lervia	B494
Capra_aegagrus	B495
Capra_sibirica	B496
internal	B497
internal	B498
Hemitragus_hylocrius	B499
Ovis_orientalis	B500
Ovis_canadensis	B501
Ovis_nivicola_lydekkeri	B502
internal	B503
internal	B504
internal	B505
internal	B506
internal	B507
internal	B508
internal	B509
internal	B510
Tragelaphus_strepsiceros	B511
Bos_frontalis	B512
Bos_mutus	B513
internal	B514
