comparison	metric	observed_value	null_median	null_95_interval	empirical_p_value	z_score	enrichment_ratio	n_permutations
binary aquatic baseline vs aquatic no Cetacea	gene_overlap_Jaccard	0.0588235294117647	0.0212765957446809	0.0000-0.0435	0.0050994900509949	3.461427982217	2.76470588235294	10000
binary aquatic baseline vs aquatic no Cetacea	module_presence_Jaccard	0.363636363636364	0.272727272727273	0.1667-0.3636	0.147885211478852	1.27274012115736	1.33333333333333	10000
binary aquatic baseline vs aquatic no Cetacea	module_count_cosine_similarity	0.444910334201682	0.625040191633751	0.2971-0.8188	0.815718428157184	-1.04843099134813	0.711810760582868	10000
marine baseline vs whale-only	gene_overlap_Jaccard	0.0485436893203883	0.0093457943925233	0.0000-0.0385	0.005999400059994	3.70685496235649	5.19417475728155	10000
marine baseline vs whale-only	module_presence_Jaccard	0.416666666666667	0.454545454545455	0.2727-0.6364	0.769323067693231	-0.408896692376208	0.916666666666667	10000
marine baseline vs whale-only	module_count_cosine_similarity	0.819038870154934	0.708401612487422	0.4137-0.8738	0.133086691330867	1.06803005295136	1.15617872082339	10000
