comparison	set_A_name	set_B_name	set_A_size_total	set_B_size_total	set_A_size_module_annotated	set_B_size_module_annotated	gene_overlap_Jaccard	module_presence_Jaccard	module_count_cosine_similarity	comparison_id	set_A_evidence_layer	set_B_evidence_layer	predictor_vs_predictor	cross_layer	recommended_main_or_supplement	notes
marine baseline vs drop-cetaceans slow genes	marine baseline	drop-cetaceans slow genes	71.0	876.0	44.0	11.0	0.0128342245989305	0.583333333333333	0.503804561737716							
	marine baseline LASSO predictors	drop-cetacean marine-slow genes								5C_2	Phase 12A corrected full-data LASSO predictors	global branch-level t-test/FDR slow genes	no	yes	supplement_or_labeled_context	Cross-layer comparison; descriptive context only and not equivalent to predictor-vs-predictor turnover.
