trait	foldwise_ASR_model	frozen_ASR_model	n_evaluable_folds	frozen_median_selected_predictors	frozen_IQR_selected_predictors	foldwise_median_selected_predictors	foldwise_IQR_selected_predictors	median_delta_selected_predictors	n_folds_selected_count_changed	max_abs_delta_selected_predictors
binary_aquatic_dependence	binary_aquatic_dependence_foldwise_ASR_nested_ttest_baseline	binary_aquatic_dependence_nested_ttest_baseline	251	90	86-99	90	86-99	0	4	26
marine_binary	marine_binary_foldwise_ASR_nested_ttest_baseline	marine_binary_nested_ttest_baseline	262	69	67-72	69	67-72	0	0	0
