trait	trait_axis	foldwise_ASR_model	frozen_ASR_model	n_species_evaluated	n_positive	n_negative	semi_aquatic_handling	AUC_frozen_ASR_nested_ttest_raw	AUC_frozen_ASR_nested_ttest_public	AUC_foldwise_ASR_nested_ttest	delta_AUC_foldwise_minus_frozen	n_LOOCV_folds	n_folds_zero_candidate_features	n_folds_null_intercept_only	median_candidate_features_per_fold	IQR_candidate_features_per_fold	median_selected_predictors_per_fold	IQR_selected_predictors_per_fold	evidence_level	material_change_flag
marine_binary	marine specialization	marine_binary_foldwise_ASR_nested_ttest_baseline	marine_binary_nested_ttest_baseline	302	51	251	retained as non-marine/background 0 for marine binary model	0.935551910007031	0.936	0.935551910007031	-2.22044604925031e-16	262	0	0	1561	1558-1567	69	67-72	fold-wise ASR sensitivity: held-out genus terminal trait labels masked before deterministic maximum-parsimony branch-state reconstruction; supervised t-test/FDR and terminal-only LASSO nested inside genus folds	PASS_NO_MATERIAL_AUC_CHANGE
binary_aquatic_dependence	binary aquatic dependence	binary_aquatic_dependence_foldwise_ASR_nested_ttest_baseline	binary_aquatic_dependence_nested_ttest_baseline	289	63	226	semi-aquatic aquatic_v2=0.5 labels excluded from LASSO training/testing/preprocessing/AUC; 0.5 branch states excluded from branch-level binary screen	0.825537294563843	0.826	0.822657676639978	-0.00287961792386537	251	0	0	1223	1217-1230	90	86-99	fold-wise ASR sensitivity: held-out genus terminal trait labels masked before deterministic maximum-parsimony branch-state reconstruction; supervised t-test/FDR and terminal-only LASSO nested inside genus folds	PASS_NO_MATERIAL_AUC_CHANGE
