trait	foldwise_ASR_model	frozen_ASR_model	n_evaluable_folds	frozen_median_candidate_genes	frozen_IQR_candidate_genes	foldwise_median_candidate_genes	foldwise_IQR_candidate_genes	median_delta_candidate_genes	n_folds_candidate_count_changed	max_abs_delta_candidate_genes
binary_aquatic_dependence	binary_aquatic_dependence_foldwise_ASR_nested_ttest_baseline	binary_aquatic_dependence_nested_ttest_baseline	251	1223	1217-1230	1223	1217-1230	0	4	45
marine_binary	marine_binary_foldwise_ASR_nested_ttest_baseline	marine_binary_nested_ttest_baseline	262	1561	1558-1567	1561	1558-1567	0	1	19
