species	marine_binary	aquaticity_score_sum_0_18	aquatic_v1_status	aquatic_v2_status	aquatic_v3_status	legacy_marine2	legacy_aquatic2	aquatic_trait_source	aquatic_scoring_scheme	aquatic_score_range
Sapajus_apella	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Scalopus_aquaticus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Sciurus_vulgaris	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Semnopithecus_entellus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Sigmodon_hispidus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Solenodon_paradoxus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Sousa_chinensis	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Spilogale_gracilis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Steno_bredanensis	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Sturnira_hondurensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Suricata_suricatta	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Sylvicapra_grimmia	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Sylvilagus_bachmani	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Syncerus_caffer	0	2	1	0.5	0	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Talpa_occidentalis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Tapirus_indicus	0	3	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Tapirus_terrestris	0	3	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Taxidea_taxus_jeffersonii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Theropithecus_gelada	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Thryonomys_swinderianus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Tonatia_saurophila	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Trachypithecus_francoisi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Tragelaphus_strepsiceros	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Tragulus_javanicus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Tragulus_kanchil	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Trichechus_manatus_latirostris	1	18	1	1	1	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Tupaia_chinensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Tursiops_aduncus	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Tursiops_truncatus	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Urocitellus_parryii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Uromys_caudimaculatus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ursus_americanus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ursus_arctos_horribilis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ursus_maritimus	1	7	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Ursus_thibetanus_thibetanus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Vicugna_vicugna_mensalis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Vulpes_lagopus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Vulpes_vulpes	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Xerus_inauris	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Zalophus_californianus	1	14	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
