species	marine_binary	aquaticity_score_sum_0_18	aquatic_v1_status	aquatic_v2_status	aquatic_v3_status	legacy_marine2	legacy_aquatic2	aquatic_trait_source	aquatic_scoring_scheme	aquatic_score_range
Choloepus_didactylus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Choloepus_hoffmanni	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Chrysochloris_asiatica	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Chrysocyon_brachyurus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Coendou_prehensilis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Colobus_angolensis_palliatus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Connochaetes_taurinus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Craseonycteris_thonglongyai	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cricetomys_gambianus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cricetulus_griseus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Crocuta_crocuta	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cryptoprocta_ferox	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ctenodactylus_gundi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ctenomys_sociabilis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cynomys_gunnisoni	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Damaliscus_lunatus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Dasyprocta_punctata	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Dasypus_novemcinctus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Daubentonia_madagascariensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Delphinapterus_leucas	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Dicerorhinus_sumatrensis_sumatrensis	0	3	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Diceros_bicornis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Dinomys_branickii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Dipodomys_ordii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Dolichotis_patagonum	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Dugong_dugon	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Echinops_telfairi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Eidolon_dupreanum	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Elaphurus_davidianus	0	4	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Elephantulus_edwardii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Elephas_maximus	0	2	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Enhydra_lutris_kenyoni	1	13	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Eptesicus_fuscus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Equus_burchellii_boehmi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Equus_zebra	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Erethizon_dorsatum	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Erignathus_barbatus	1	15	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Erythrocebus_patas	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Eschrichtius_robustus	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Eubalaena_australis	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Eubalaena_glacialis	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Eubalaena_japonica	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Eudorcas_thomsonii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Eulemur_flavifrons	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Eumetopias_jubatus	1	14	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Felis_nigripes	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Galeopterus_variegatus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Giraffa_camelopardalis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Giraffa_tippelskirchi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Glis_glis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Globicephala_melas	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Gorilla_gorilla_gorilla	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Grammomys_surdaster	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Grampus_griseus	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Halichoerus_grypus	1	15	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Homo_sapiens	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Helarctos_malayanus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Helogale_parvula	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Hemitragus_hylocrius	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Heterocephalus_glaber	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Heterohyrax_brucei	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Hippopotamus_amphibius	0	11	1	1	1	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Hipposideros_galeritus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Hippotragus_equinus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Hippotragus_niger_niger	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Hyaena_hyaena	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Hydrochoerus_hydrochaeris	0	8	1	1	1	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Hydrodamalis_gigas	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Hydropotes_inermis	0	3	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Hylobates_moloch	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Hystrix_cristata	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ictidomys_tridecemlineatus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Indri_indri	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Inia_geoffrensis	1	18	1	1	1	0.5	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Jaculus_jaculus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Kobus_ellipsiprymnus	0	3	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Kobus_leche_leche	0	8	1	1	1	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Kogia_breviceps	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Lagenorhynchus_obliquidens	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Lama_guanicoe_cacsilensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Lemur_catta	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Leptonychotes_weddellii	1	15	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Leptonycteris_yerbabuenae	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Lepus_timidus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Lipotes_vexillifer	1	18	1	1	1	0.5	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Litocranius_walleri	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Lontra_canadensis	0	10	1	1	1	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Loxodonta_africana	0	2	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Lutra_lutra	0	10	1	1	1	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Lycaon_pictus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Lynx_canadensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Lynx_pardinus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Macaca_mulatta	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Macroglossus_sobrinus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Macrotus_californicus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Mandrillus_sphinx	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Manis_javanica	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
